"","sub","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","defaced","site"
"35",29,4.25635376627425,1.56941869222309,3.92592393891319,3.76597406899232,2.05278100805702,-0.647101569566625,0.470510742309633,-0.714629190951972,0.00861043799553356,0,1
"36",29,4.48276515884827,-1.06496562334286,3.24171591382303,2.2632991415684,2.34620889936938,-0.446021699334768,0.480441813923994,-0.821610265629683,-1.02667446299927,1,1
"37",30,-4.69664444385462,1.03032732500867,1.63777077293288,-3.56748474553822,3.07650539109011,2.15746230599655,1.65236015952887,-1.61935431139709,-3.08440621706034,0,1
"38",30,1.88440121805346,-2.57423339963525,-0.331663132373591,1.18619858340916,2.25288167830162,1.89971018145971,-0.410180951962191,0.830387473445232,0.717667540745921,1,1
"39",31,5.597258549455,-3.66669603921722,1.6144624943315,3.52315746295114,0.0276813038144076,1.71966458079482,0.672789162656477,0.00239887624621998,0.369958840559524,0,1
"40",31,-2.45897087306367,0.275491947543333,3.34274197802502,-3.09273358536501,3.30147453950285,0.191528190861521,0.0805069701761869,-1.20646283505836,1.75261148879436,1,1
"41",33,-0.501848200419718,-4.05225547742611,-3.06899590778936,-2.27435164769255,-1.24642796676145,0.167363990048669,1.52079742083746,0.0390530257134127,0.297385186699495,0,0
"42",33,-1.17220060711424,-4.07156570800775,0.166729965473832,0.250193409615707,-1.44094935047233,0.0898029888918712,-0.796626760829135,-0.342628366924619,0.384457453242612,1,0
"43",34,2.27017694949798,-1.60104754229265,-0.55717241669219,-1.49577249550543,0.673991730737144,5.00182884097214,2.05775983016877,0.0928149775047778,0.56512986185239,0,0
"44",34,2.07673761499754,-5.31673150065489,-0.426848773939788,2.49657921488937,0.300254130497489,4.10650785623164,0.659534190293641,0.490077351102963,-0.344330193651325,1,0
"45",35,4.0290916490327,-2.07437278522105,7.40458582435519,-1.84885469932085,0.316152276093598,-3.09535999875881,-0.417693387048479,0.498104857637129,-0.670525931077204,0,2
"46",35,2.95066925753987,-1.80838059916493,-0.105596361269663,0.781521235730322,1.08062850335069,0.959754580744033,0.698298898961173,0.654603736552036,0.321043530283541,1,2
"47",36,1.24260636869744,-5.20192176011284,2.43678948538872,-2.34883948304856,-0.610227432496768,1.02350986484898,0.491310569714126,1.86295943105405,0.164916903132686,0,1
"48",36,1.11320664895965,-5.55016416324995,-0.856217157198149,0.615513973623337,-1.53816752753327,-2.42967337984022,-0.263484092745381,0.431423109244184,0.0121305121554804,1,1
"49",37,-0.992213815900648,-2.4616145105666,2.47946239206772,0.141594586178168,-1.83814018468717,0.536728641986018,-0.613419634970671,0.0871579774728523,0.734925235548534,0,1
"50",37,0.579254099406634,-4.58440554087411,3.1765569305364,-2.00867744199163,-2.28624799924787,1.98568757325851,0.341074713386652,1.98712629264525,0.745887998318626,1,1
"51",38,0.724190069479954,-3.68078101443443,1.65063741776323,-2.20464923914736,-1.18062467439224,-0.519263687416095,-1.07885265523471,1.53814287806295,0.799305702869222,0,1
"52",38,-2.30824790233019,-3.98269797164494,-0.839856242954592,-3.48326890900147,-1.39112888321896,2.7604497942658,0.17492401525496,0.267279906220956,1.26004810323404,1,1
"53",39,-1.80866463338528,-2.58219368873695,-3.42278355659134,-2.80360185204802,-1.25019181080571,0.105902428364195,-0.765048069773967,-0.384738899224678,0.345164698729184,0,0
"54",39,6.22644483663571,-3.47564352932379,3.74260192884658,1.37820098514486,0.597721264977173,0.626490213065892,1.13187874512452,1.7787724512287,-0.206533824888616,1,0
